TP_DEPENDENCIA,REDE_ENSINO,ESCOLAS,MUNICIPIOS,MATRICULAS_EM,PERCENTUAL_ESCOLAS,PERCENTUAL_MATRICULAS
1,Federal,6,4,1585,0.5323868677905945,0.6412746192811251
2,Estadual,1102,496,243807,97.78172138420585,98.64179249405252
3,Municipal,19,10,1772,1.6858917480035491,0.716932886666343
